Customer Code,# of Receivers,Profit per Receiver,Profit per Receiver Bucket,# of PPV Orders (last 12 Months),Profit per PPV order,Profit per PPV order Bucket,DVR Service,DVR Service Profit,DVR Service Profit Bucket,HD Programming Service,HD Service Profit,HD Service Profit Bucket,Total Profit,Total Profit Buckets,Responder Rating,Est. Mortgage Loan Amount,Dwelling Type,Photography,Gardening,Cooking,Gourmet Food,Home Business,Readers,New Age,Upscale,Computer,Age,Marital Status,Education,Household Income,Gender,Homeowner,Number of Total Rooms,Customer Count,Age Group,Dwelling Type Details,Education Status Details,Cluster
32,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,1,107966,2,0,0,0,0,1,0,0,0,0,31,0,3,8000,0,0,8,1,25-34,Single Family,Completed College,1
33,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,97771,2,0,0,0,0,0,0,0,0,0,33,0,1,8000,0,0,8,1,25-34,Single Family,High School,1
34,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,3,115425,2,0,0,0,0,0,0,0,1,0,62,0,1,8000,0,0,16,1,55-69,Single Family,High School,1
35,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,102869,2,0,1,1,0,0,1,0,0,0,81,0,1,8000,0,0,6.31,1,70-Above,Single Family,High School,1
36,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,2,118161,4,0,0,1,1,0,1,1,0,1,45,0,1,8000,0,0,6.63,1,45-54,Unknown,High School,1
37,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,4,111266,4,0,1,0,0,1,1,1,1,0,65,1,2,8000,0,0,7.67,1,55-69,Unknown,Some College,1
38,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,100320,3,0,0,0,0,0,0,0,0,0,33,0,1,8000,0,0,5.63,1,25-34,Condo,High School,1
39,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,107966,0,0,1,0,1,0,0,1,0,0,72,0,2,8000,0,0,4.84,1,70-Above,Unknown,Some College,1
40,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,120709,2,0,0,0,0,1,0,0,1,1,24,0,3,8000,0,0,8.25,1,18-24,Single Family,Completed College,1
41,1,50,$50,0,0,$0,0,0,$0,0,0,$0,50,$50,0,107966,4,0,0,0,0,0,0,0,0,0,38,0,2,8000,0,0,6.52,1,35-44,Unknown,Some College,1
